code,name,type
1001,库存现金,asset
1002,银行存款,asset
1012,其他货币资金,asset
1101,短期投资,asset
1121,应收票据,asset
1122,应收账款,asset
1123,预付账款,asset
1131,应收股利,asset
1132,应收利息,asset
1221,其他应收款,asset
1401,材料采购,asset
1402,在途物资,asset
1403,原材料,asset
1405,库存商品,asset
1601,固定资产,asset
1602,累计折旧,asset
1701,无形资产,asset
2001,短期借款,liability
2201,应付票据,liability
2202,应付账款,liability
2203,预收账款,liability
2211,应付职工薪酬,liability
2221,应交税费,liability
2231,应付利息,liability
2241,应付股利,liability
2251,其他应付款,liability
2501,长期借款,liability
4001,实收资本,equity
4002,资本公积,equity
4101,盈余公积,equity
4103,本年利润,equity
4104,利润分配,equity
5001,生产成本,expense
5101,制造费用,expense
6001,主营业务收入,revenue
6051,其他业务收入,revenue
6111,投资收益,revenue
6301,营业外收入,revenue
6401,主营业务成本,expense
6402,其他业务成本,expense
6601,销售费用,expense
6602,管理费用,expense
6603,财务费用,expense
6711,营业外支出,expense
6801,所得税费用,expense
